learner_id,quiz_question,week_number,step_number,question_number,response,submitted_at,correct
ae41e509-ddb7-470b-8286-7b8ecddf0479,6.10.2,6,10,2,2,2015-04-01 14:24:08 UTC,FALSE
ae41e509-ddb7-470b-8286-7b8ecddf0479,6.10.2,6,10,2,3,2015-04-01 14:24:16 UTC,TRUE
ae41e509-ddb7-470b-8286-7b8ecddf0479,6.10.3,6,10,3,3,2015-04-01 14:27:31 UTC,FALSE
ae41e509-ddb7-470b-8286-7b8ecddf0479,6.10.5,6,10,5,1,2015-04-01 14:35:09 UTC,TRUE
ae41e509-ddb7-470b-8286-7b8ecddf0479,7.11.3,7,11,3,1,2015-04-01 14:45:47 UTC,FALSE
ae41e509-ddb7-470b-8286-7b8ecddf0479,7.11.4,7,11,4,3,2015-04-01 14:54:36 UTC,FALSE
ae41e509-ddb7-470b-8286-7b8ecddf0479,7.11.4,7,11,4,4,2015-04-01 14:54:41 UTC,FALSE
ae41e509-ddb7-470b-8286-7b8ecddf0479,9.10.1,9,10,1,2,2015-04-02 08:07:15 UTC,TRUE
ab429259-226f-4028-b4c4-4f58a3a20de7,6.10.1,6,10,1,1,2015-04-08 07:08:13 UTC,TRUE
ab429259-226f-4028-b4c4-4f58a3a20de7,6.10.2,6,10,2,1,2015-04-08 07:08:24 UTC,FALSE
ab429259-226f-4028-b4c4-4f58a3a20de7,6.10.3,6,10,3,1,2015-04-08 07:08:34 UTC,FALSE
ab429259-226f-4028-b4c4-4f58a3a20de7,6.10.4,6,10,4,1,2015-04-08 07:08:48 UTC,FALSE
ab429259-226f-4028-b4c4-4f58a3a20de7,6.10.5,6,10,5,1,2015-04-08 07:08:59 UTC,TRUE
ab429259-226f-4028-b4c4-4f58a3a20de7,7.11.1,7,11,1,1,2015-04-08 07:25:37 UTC,FALSE
ab429259-226f-4028-b4c4-4f58a3a20de7,7.11.2,7,11,2,1,2015-04-08 07:25:50 UTC,FALSE
ab429259-226f-4028-b4c4-4f58a3a20de7,7.11.3,7,11,3,1,2015-04-08 07:26:03 UTC,FALSE
ab429259-226f-4028-b4c4-4f58a3a20de7,7.11.4,7,11,4,1,2015-04-08 07:26:13 UTC,TRUE
