id,author_id,parent_id,step,week_number,step_number,text,timestamp,likes,first_reported_at,first_reported_reason,moderation_state,moderated
17511171,68d0ac30-a804-4665-ad7e-f630cca3c175,,1.1,1,1,Sounds interesting!!,2016-11-07 00:34:33 UTC,0,,,,
17512372,89dea052-933d-4f0b-91ca-854fc1a6963a,,1.1,1,1,"This is my third time and thank you .more lern more views to . out of sight ,out of mind not but I nlike thar my all in out  or in every thing so thank you aagain.",2016-11-07 01:55:02 UTC,1,,,,
17512515,776a1c1a-50b4-44b0-9dc7-3fd6652ed19b,,1.1,1,1,"Sounds a really fascinating course, really looking forward to learning ",2016-11-07 02:02:30 UTC,1,,,,
17512589,2e1faca6-d519-4c68-9b77-1eb1f6065e00,,1.1,1,1,Thanks for the clear introduction.  I will get started right now!,2016-11-07 02:06:47 UTC,0,,,,
17512675,d314fddd-63db-4c66-af91-81309e131d2e,,1.2,1,2,"I really like this statement "" We are fictional characters, in stories of our own invention"".     Lets continue, this is really interesting. ",2016-11-07 02:10:31 UTC,7,,,,
17512754,c192b9e6-d2c0-4f2d-8ffc-b79a1c4e0b64,,1.3,1,3,"I like the concept that we react to life using the lessons of our past, the legal case law example is good. The idea is that our brain, a biochemical organ, works away to store information, provide canned responses (instinct), and even do problem solving while we are asleep. The resultant 'mind' is the brains output communicated through our filters, also in the brain, of language, emotion, sensitivity....humm, does this make sense?",2016-11-07 02:14:15 UTC,0,,,,
17513018,c192b9e6-d2c0-4f2d-8ffc-b79a1c4e0b64,,1.4,1,4,"Interesting examples and way of saying we, our minds, respond in different ways depending on how things are presented, or I suppose, the mood we are in, what we think the expectation is, how important I think it is to give a good response...too many variables that our mind and our brain (two different parts of us) work out to produce 'our story'.  I like that.",2016-11-07 02:27:40 UTC,4,,,,
17513121,2e1faca6-d519-4c68-9b77-1eb1f6065e00,,1.4,1,4,"The general idea of a mind that improvises a response to each situation as it is encountered seems plausible but then maybe I am influenced by the fact that Professor Nick Chater appears to be a nicely spoken, very presentable, popular academic.   Also I haven't read or heard about any alternative theories yet.",2016-11-07 02:32:22 UTC,10,,,,
17513194,d314fddd-63db-4c66-af91-81309e131d2e,,1.5,1,5,"I have to challenge this... this is a definition of hindsight bias.   ""Hindsight bias, also known as the knew-it-all-along effect or creeping determinism, is the inclination, after an event has occurred, to see the event as having been predictable, despite there having been little or no objective basis for predicting it""    Could you call this intuition, having a knowing that something is going to occur?  .",2016-11-07 02:35:39 UTC,4,,,,
17513335,c192b9e6-d2c0-4f2d-8ffc-b79a1c4e0b64,,1.5,1,5,"Fascinating. It is as if there is just too much data, too many inputs and our brain stores what it can, then later our mind, in its interpretive role, tries to make sense out of all that and comes up with often distorted memories. ",2016-11-07 02:42:13 UTC,1,,,,
17513465,125bd635-eeae-487c-8aac-1ce7bb878580,,1.2,1,2,"Appreciated.
",2016-11-07 02:49:09 UTC,0,,,,
17513515,3e60c264-f918-41d3-a4f6-f0bc77359430,,1.12,1,12,Surprised to see my results were on occasion better than average. Felt like it took me ages to notice any of the changes. Gings! Thoroughly enjoyed it. More experiments please.,2016-11-07 02:51:44 UTC,1,,,,
17513553,a10eb9d1-34c9-48de-bed2-d7acca433f82,,1.1,1,1,I look forward to gaining new perspectives and the ensuing dialogue.,2016-11-07 02:53:26 UTC,0,,,,
17513652,c192b9e6-d2c0-4f2d-8ffc-b79a1c4e0b64,,1.6,1,6,"Expectation..your own and what you think someone else expects, will both change how we react. Our minds try to deal with these situations by using the input data, checking our 'case law' records for any warning lessons, then balance an importance factor, then blurt out an answer...a complicated process it is to be a human in society, yes?",2016-11-07 02:58:04 UTC,3,,,,
17513760,ea4e17d5-70b1-4762-ba90-c850d9d9ae24,,1.11,1,11,"Two distinct decisions, one on looking for a company to secure a mortgage with, I conducted in depth research into a number of companies and what was on offer (interest rates, term of mortgage etc) to finally come to a conclusion on which was best. Another was a purchase of a new vacuum; this search I conducted on customer reviews, so my choice was really guided by customer response on different products - interesting!!",2016-11-07 03:03:25 UTC,0,,,,
17515022,4e3c1924-e093-4b93-8936-689c8daf204f,,1.1,1,1,"This appears to be a very interesting course, I am looking forward to it. ",2016-11-07 04:09:41 UTC,0,,,,
17515049,acd723d4-0a3e-4de5-8926-db87381c2135,,1.2,1,2,"Since we as humans usually act, or react according to how we feel at the moment, I think it will be quite impossible to anyone, to really explain later, what their motivation was, since that feeling won't be felt with the same intensity anymore, if at all. 
Very interesting subject, just love our complex mind, it's like an unsolvable puzzle!",2016-11-07 04:11:11 UTC,18,,,,
17515062,46def680-81f1-4817-b561-b4224199b9f5,,1.1,1,1,Hi I am looking forward to this course. Hardly have any time but addicted to learning here. ,2016-11-07 04:11:49 UTC,0,,,,
17515226,81e179f2-76d3-48ad-940d-ffa18f494488,,1.1,1,1,"lets get this started.Im looking forward to learning all about this stuff.
i love it",2016-11-07 04:19:38 UTC,1,,,,
17515625,acd723d4-0a3e-4de5-8926-db87381c2135,,1.3,1,3,"When I have to discuss a situation, or problem with others, I usually  find myself thinking about different scenarios, of how things might go, and how I will, or should react.
Of course, often everything goes completely off track, and I have to improvise!",2016-11-07 04:36:59 UTC,2,,,,
17515796,46def680-81f1-4817-b561-b4224199b9f5,,1.2,1,2,"I teach meditation and my interest is in studying the mind is most things are conjured by the mind, which appears as reality. It's all an illusion. But want to understand how one can see the difference? All the same. Every information here is valuable. 

Aren't we all created in the MIND OF GOD? ",2016-11-07 04:44:15 UTC,0,,,,
17515853,613ec162-e0c8-4c91-9a24-f47a2764de21,,1.1,1,1,"It sounds so interesting, so why has my mind just been telling me I will be hopeless at this and it's way above my intelligence level? Why do our own minds sabotage us in this way? Perhaps this is my chance to find out, if of course, I can follow what is being said!?!?",2016-11-07 04:46:37 UTC,1,,,,
17515910,46def680-81f1-4817-b561-b4224199b9f5,,1.3,1,3,We have a tendency to carry a list of wrongs in everyone. I am a corporate trainer and deal with human behaviour and relationships at all levels. Micro to macro. And the complexity of the human mind both baffles me and intrigues also. ,2016-11-07 04:49:21 UTC,0,,,,
17516570,95e91da1-d2dc-44f1-a730-64f7ec0e2571,,1.1,1,1,Wish all the best of luck,2016-11-07 05:21:09 UTC,0,,,,
17516932,56f142b1-3f2b-43e2-af00-ecde99938c2c,,1.3,1,3,"This seems quite logical to me so far. Why wouldn't we do this? The marvel, is that the brain can retain this amount of information.",2016-11-07 05:38:02 UTC,2,,,,
17517184,1913ad24-a04d-446a-92d8-71ee5c385f1e,,1.2,1,2,"This is fascinating, are we seen to be robots?  It is interesting how one can make such different choices at different times of life or even on different days.  Such as 'What on earth possessed me to buy THAT pair of shoes?'  More please!",2016-11-07 05:48:55 UTC,1,,,,
17517589,73476bcd-2ab0-40cb-842a-82961cf53cf5,17515796,1.2,1,2,I see you've already chosen to believe in god?,2016-11-07 06:08:50 UTC,3,,,,
17517603,dc6b33b2-bff7-4a8d-b051-51c0d75e963f,,1.3,1,3,"Much like the 'effects of labelling on perception'. :)
",2016-11-07 06:09:18 UTC,1,,,,
17517819,1913ad24-a04d-446a-92d8-71ee5c385f1e,,1.4,1,4,"I guess also the ego comes into it, when are given a question such as where is this town I have never heard of.  And would we answer in the way we feel we would do because that was the way we in the past have approached such challenges?  Nick is suggesting these things, and has already stressed that this is one of a lot of interpretations but inevitably I feel myself drawn to taking what he is suggesting as fact!  Dangerous! ",2016-11-07 06:18:57 UTC,4,,,,
17518220,ca004bd7-6de9-4015-9ee3-733e6b8ea6ec,,1.3,1,3,"But what if this is not the case? Suppose your mind (as described in this article) is actually an illusion, and you are being tricked into believing that your thoughts are real? The 'complexity' of the mind as I see it, is not merely an acceptance of what and how you think, to me it is a question of 'what is thought'? Of course we are all influenced by many factors, birth, culture, education, beliefs and so on, but that only explains 'your' particular version of thought! Where does thought originate? Where is the mind located?  It is stated here that we do not interpret situations at random, I agree, however, I disagree with the terms of reference. I believe that there is a preconditioned element to thought and thinking, especially when you consider the statement that we are capable of collective creation of complex societies! Does this mean that the thoughts already existed, and we all just happened to stumble upon them together? Tell me one thing that you have experienced outside of yourself? All that we know, is experienced from within, your mind acts like a mirror, reflecting your perception of a situation based on your previous experience or reference point. But is it real?",2016-11-07 06:38:13 UTC,6,,,,
17518295,20614074-f8f7-4890-b9da-e1270ff2ac38,,1.1,1,1,"Not only is the Mind flat but it's also irrational!  For instance,  I own sooo many shoes!  Shoes in all styles and colours fit for most occasions,  however what makes me still go out and buy more shoes?!! And what's worse is I tell myself this over and over and yet I still do it!!!  I  become irrational and justify the purchase in any way that will make me feel better!! :-) ",2016-11-07 06:41:19 UTC,2,,,,
17518488,57421c17-73b1-46a8-be43-ef0591fba7e0,17512675,1.2,1,2,"yeah me too.
it seems to make a lot of sense for some reson that i myself cannot understand",2016-11-07 06:48:15 UTC,0,,,,
17518571,de6bf8e2-6f9b-4b5e-9e78-f6d975cc7876,,1.1,1,1,"This looks so interesting. I am looking forward to it.
",2016-11-07 06:51:30 UTC,2,,,,
